word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	
0.0200014 0.0205045 0.0201801 0.0195375 0.0200469 0.0199071 0.0207073 0.0199446 0.0195594 0.0198676 0.0202619 0.0204048 0.0191722 0.0197842 0.0197143 0.0200275 0.0201866 0.0203846 0.0195569 0.0195317 0.0199694 0.0200632 0.0199242 0.0198390 0.0192769 0.0204261 0.0195350 0.0199448 0.0198972 0.0208696 0.0198242 0.0203682 0.0189580 0.0200188 0.0202601 0.0200410 0.0206058 0.0201479 0.0193689 0.0200216 0.0207010 0.0205548 0.0202628 0.0198815 0.0200695 0.0198144 0.0199057 0.0197165 0.0201823 0.0202704
0.0200766 0.0205219 0.0201022 0.0206322 0.0197605 0.0201998 0.0201142 0.0198696 0.0190470 0.0200960 0.0198702 0.0200444 0.0196202 0.0197883 0.0202588 0.0204110 0.0201579 0.0198630 0.0204355 0.0199966 0.0196644 0.0204082 0.0193870 0.0198041 0.0199652 0.0197518 0.0206667 0.0197657 0.0202459 0.0204522 0.0205274 0.0199870 0.0198843 0.0201940 0.0192795 0.0200217 0.0199509 0.0208037 0.0204466 0.0195124 0.0200589 0.0200424 0.0204542 0.0203357 0.0191132 0.0196530 0.0194387 0.0196761 0.0198406 0.0198024
0.0201259 0.0193099 0.0200069 0.0204780 0.0200133 0.0203515 0.0204125 0.0202884 0.0207111 0.0205589 0.0203377 0.0198693 0.0189507 0.0195623 0.0206570 0.0203737 0.0202918 0.0201971 0.0202177 0.0206051 0.0191593 0.0199650 0.0188596 0.0200355 0.0202719 0.0194070 0.0191862 0.0198383 0.0200705 0.0203945 0.0202825 0.0203699 0.0200791 0.0198276 0.0190643 0.0197096 0.0202742 0.0195086 0.0207475 0.0209594 0.0194271 0.0206639 0.0206544 0.0194845 0.0205303 0.0203866 0.0195975 0.0195580 0.0194412 0.0189272
0.0202636 0.0197495 0.0207966 0.0203366 0.0197043 0.0203826 0.0201500 0.0203306 0.0196910 0.0200210 0.0203935 0.0199426 0.0196602 0.0199996 0.0200499 0.0204709 0.0198059 0.0193036 0.0204005 0.0197522 0.0198518 0.0200124 0.0198758 0.0190121 0.0200326 0.0202622 0.0199747 0.0193965 0.0209698 0.0201242 0.0196522 0.0196118 0.0195575 0.0202485 0.0191094 0.0205562 0.0199322 0.0200977 0.0206092 0.0202995 0.0198067 0.0202342 0.0200620 0.0193028 0.0201995 0.0202312 0.0190652 0.0193803 0.0210078 0.0203192
0.0200285 0.0199592 0.0192893 0.0207397 0.0196617 0.0198850 0.0199624 0.0208621 0.0202406 0.0199855 0.0208458 0.0206340 0.0199372 0.0197810 0.0201976 0.0196088 0.0200902 0.0204793 0.0201802 0.0200370 0.0198125 0.0196869 0.0193461 0.0203863 0.0192506 0.0195398 0.0193794 0.0202539 0.0188619 0.0196934 0.0195698 0.0204414 0.0202755 0.0203659 0.0201972 0.0199312 0.0201200 0.0205332 0.0193072 0.0201676 0.0197740 0.0200675 0.0205471 0.0201921 0.0205508 0.0190948 0.0204123 0.0206873 0.0196010 0.0195485
0.0201891 0.0205190 0.0200955 0.0206293 0.0197577 0.0201970 0.0201114 0.0198668 0.0190440 0.0200931 0.0198671 0.0200415 0.0196837 0.0197855 0.0202560 0.0204032 0.0201550 0.0198602 0.0204326 0.0199889 0.0196617 0.0204053 0.0193843 0.0198013 0.0199624 0.0197490 0.0206583 0.0197629 0.0202430 0.0204493 0.0205149 0.0199842 0.0198812 0.0201911 0.0192768 0.0200189 0.0199480 0.0208007 0.0204437 0.0195096 0.0200507 0.0200395 0.0204513 0.0203328 0.0191105 0.0196503 0.0194360 0.0196685 0.0198378 0.0197996
0.0201250 0.0193090 0.0200060 0.0204771 0.0200124 0.0203506 0.0204115 0.0202875 0.0207100 0.0205580 0.0203366 0.0198684 0.0189978 0.0195614 0.0206560 0.0203728 0.0202909 0.0201961 0.0202167 0.0206042 0.0191584 0.0199641 0.0188588 0.0200346 0.0202709 0.0194061 0.0191854 0.0198374 0.0200689 0.0203936 0.0202805 0.0203689 0.0200781 0.0198266 0.0190634 0.0197087 0.0202733 0.0195077 0.0207465 0.0209585 0.0194262 0.0206630 0.0206535 0.0194836 0.0205294 0.0203856 0.0195966 0.0195571 0.0194403 0.0189263
0.0203047 0.0205169 0.0200921 0.0206272 0.0197557 0.0201949 0.0201093 0.0198647 0.0190420 0.0200910 0.0198650 0.0200394 0.0196807 0.0197834 0.0202539 0.0203995 0.0201529 0.0198581 0.0204305 0.0199852 0.0196596 0.0204032 0.0193823 0.0197993 0.0199603 0.0197470 0.0206544 0.0197608 0.0202409 0.0204472 0.0205096 0.0199821 0.0198791 0.0201890 0.0192748 0.0200168 0.0199460 0.0207986 0.0204416 0.0195076 0.0200468 0.0200374 0.0204491 0.0203307 0.0191085 0.0196482 0.0194340 0.0196649 0.0198357 0.0197975
0.0213919 0.0205180 0.0200305 0.0206932 0.0187367 0.0198424 0.0199014 0.0208759 0.0204744 0.0199773 0.0197453 0.0200113 0.0207498 0.0203002 0.0198245 0.0197120 0.0193051 0.0197616 0.0195382 0.0200518 0.0209135 0.0207012 0.0192725 0.0191371 0.0199755 0.0199094 0.0197507 0.0199058 0.0198202 0.0204717 0.0207954 0.0199640 0.0201466 0.0203029 0.0199897 0.0199347 0.0192786 0.0189532 0.0194626 0.0192335 0.0199603 0.0198480 0.0197728 0.0204586 0.0200319 0.0199617 0.0198311 0.0203555 0.0205412 0.0198786
0.0202975 0.0205157 0.0200898 0.0206260 0.0197546 0.0201938 0.0201082 0.0198636 0.0190408 0.0200899 0.0198638 0.0200383 0.0196788 0.0197823 0.0202528 0.0203968 0.0201518 0.0198570 0.0204294 0.0199826 0.0196585 0.0204021 0.0193812 0.0197982 0.0199592 0.0198197 0.0206517 0.0197598 0.0202397 0.0204461 0.0205056 0.0199810 0.0198779 0.0201879 0.0192737 0.0200157 0.0199449 0.0207974 0.0204405 0.0195065 0.0200441 0.0200363 0.0204480 0.0203296 0.0191075 0.0196471 0.0194329 0.0196624 0.0198347 0.0197965
