word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	
4.266851373190415408e+00 4.840766486374265654e+00 8.787617053310054160e+00 7.823891324732560548e+00 9.260169229310101002e+00 7.658731903595985990e+00 6.927697784059003716e+00 8.949668893466331099e+00 7.519952148208531639e+00
6.732720452837086533e+00 8.565194173288627866e+00 6.009430332282906129e+00 9.064255067486167050e+00 7.531379617088372669e+00 8.466583013356871135e+00 9.770211360091101582e+00 9.995874486317507746e+00 6.007243530800715270e+00
9.357520753114593859e+00 9.603963366811623104e+00 7.029471542067675216e+00 6.131644907909913123e+00 6.546570355423147802e+00 9.411961542191622954e+00 8.776763929442040535e+00 6.541512315899263186e+00 6.845273052376811940e+00
9.715152713262259709e+00 8.979203417755645233e+00 7.692117575433684351e+00 9.677897574671499470e+00 8.521072199945995962e+00 9.679282401092580201e+00 7.580360817638994497e+00 8.159851050127556960e+00 7.393882124833898395e+00
7.339135158472942955e+00 7.719409768748360712e+00 9.941762368321262144e+00 9.118987046717164091e+00 6.713679299543390044e+00 7.429357447817929838e+00 8.586695043173694586e+00 9.620182704043704902e+00 8.625061011454665305e+00
4.862464402740478420e+00 7.040439624424645437e+00 6.275614189664078246e+00 9.236106120750413595e+00 5.523392939788340783e+00 5.689299975424699340e+00 7.337483157544168577e+00 8.791056883175365044e+00 9.595010002728283638e+00
9.855718015651392605e+00 9.963043836543157283e+00 9.204943942310245930e+00 9.697313539900726198e+00 7.137647932645371007e+00 8.632757870373199083e+00 8.050936532726099770e+00 6.572068117839537038e+00 7.370305440414394837e+00
8.549781919429468857e+00 8.311673619146755954e+00 8.630588807530067186e+00 8.906285695973030769e+00 6.135723394441225054e+00 6.035578021222929301e+00 5.618477025971040817e+00 9.608391793808401360e+00 9.466628920232874833e+00
7.926821722037461271e+00 9.694128204821900852e+00 8.886096507477247997e+00 6.233135295488150263e+00 7.000601255780019017e+00 8.616675219972137256e+00 5.190762402238346063e+00 7.033486961342767962e+00 9.078892583377342618e+00
7.592850014198945452e+00 9.969513367356585221e+00 7.178202379677213862e+00 7.802463257051337919e+00 6.805910897462490894e+00 9.660463627979410717e+00 5.574949636254780572e+00 6.815923308845875717e+00 7.092067575226774778e+00
8.680832657742810099e+00 9.707699035444655067e+00 9.611215993980501082e+00 7.188558208834124663e+00 8.340213654758548145e+00 8.123748625274233248e+00 6.851820201687075063e+00 7.780486414426716735e+00 8.650890415434639991e+00
9.922718181864359721e+00 9.087729600787957551e+00 7.319816859779673557e+00 6.951833095897590908e+00 8.624843883813566592e+00 9.612575245100687837e+00 9.858739689575839904e+00 8.711046403737228161e+00 8.613282961318144970e+00
9.773866200594572007e+00 9.915859578962630039e+00 7.065370313490264564e+00 7.099468196941370657e+00 8.397359601785330696e+00 9.398165633751624171e+00 7.885465297170348720e+00 9.887768508870637518e+00 8.523207856115931236e+00
7.648639583399784669e+00 9.364321051897455561e+00 8.154642578553673360e+00 7.771022793316459065e+00 9.600672409753599368e+00 7.291219816922504648e+00 7.536341328736501310e+00 9.839193821668235529e+00 9.694825125605838423e+00
8.542320491046517361e+00 9.965715694609851738e+00 7.855065169966244376e+00 5.783571350008090306e+00 9.152353722809042580e+00 6.187690155136647441e+00 8.057206545343492010e+00 9.084685247250728679e+00 7.254745330689468474e+00
7.153081758178639227e+00 8.579331113880963144e+00 8.823126111178893893e+00 7.250444813636799601e+00 6.759310492581334984e+00 5.698992425050257715e+00 7.824819936105225970e+00 7.283889870873660577e+00 6.623413943858095010e+00
8.203440982126421588e+00 9.703265554273025728e+00 8.961212199431443537e+00 7.484620867463019245e+00 5.276583579584225525e+00 8.838538639727389068e+00 9.366590932730337826e+00 8.716935663392659350e+00 9.787489850132800484e+00
7.062944555660280344e+00 7.623240287897500522e+00 7.331094747375988874e+00 8.147611153614160884e+00 7.501124401993008561e+00 6.460107523541722685e+00 7.743159354227442392e+00 7.259272505633128425e+00 9.810216506421898686e+00
7.098157168563620445e+00 7.030758121351802892e+00 7.759159314311322220e+00 5.818835788731606229e+00 6.402909368087030373e+00 6.393427969679740919e+00 5.161493230397600662e+00 5.785458449682165494e+00 9.463596212524937101e+00
6.720120906795912674e+00 7.575078207163194577e+00 7.514602994377819201e+00 8.419584142535450511e+00 6.585492394603431165e+00 9.373220466534668560e+00 9.069118765115542047e+00 5.205816976827454923e+00 7.406678521941760351e+00
5.891767690031906035e+00 9.626880177336305522e+00 7.242997082647743667e+00 9.481721270598153950e+00 7.738176137049875614e+00 9.488373014039884978e+00 5.167492882430447132e+00 8.023007620552791153e+00 8.810859229362893785e+00
7.284430599977945064e+00 9.343489626751690480e+00 5.942612603539951799e+00 4.192221315644833801e+00 9.941598196388667930e+00 7.968572604629580169e+00 8.594787891548630654e+00 8.221822603027179710e+00 9.979101627915312633e+00
