time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	
7.112234402707539971e+01 9.008887818405223413e+01 1.051797319248462230e+02 1.154996643281418898e+02 1.042804352208417527e+02 9.834069895582115350e+01 1.000593703029582997e+02 1.030472271837462870e+02 9.959536506319000182e+01
7.227924834295890832e+01 1.099582419104433768e+02 1.156770909143245376e+02 8.356312319463803817e+01 1.117394846921115743e+02 9.874633870101422417e+01 1.044812391717961191e+02 1.002967051446584321e+02 1.076902229403300879e+02
8.558536805840006423e+01 1.110842386218195088e+02 1.079436897171095069e+02 8.377556964855961041e+01 8.680310620420189593e+01 9.763893695787611193e+01 1.040094900995381835e+02 9.364845989734533305e+01 1.057510683699799756e+02
9.253404669867683197e+01 1.071643172640604007e+02 1.021692974531306959e+02 8.340310418381491786e+01 1.103148314100085088e+02 1.024833037832206202e+02 9.818699804159552968e+01 9.903463846563957418e+01 9.139010186656652479e+01
1.066382475501365548e+02 9.214150124516811502e+01 9.194522091631897354e+01 9.541632583938616108e+01 9.216200064362986666e+01 1.006020895193453555e+02 1.055357355508012489e+02 9.445014999160122215e+01 1.052827143519139668e+02
9.854198043172119981e+01 9.776964266603853559e+01 8.048204590414773918e+01 1.153023731551888034e+02 8.331866187911062127e+01 9.129408020018661318e+01 1.036720794487355874e+02 1.130253022819209718e+02 1.207349158140293923e+02
1.091316496345063030e+02 1.003089125838466487e+02 8.856263316942417418e+01 9.947337006870439780e+01 1.090147964686373712e+02 9.144937454300367108e+01 1.016849009604275409e+02 9.695906983536194446e+01 1.205435173939247875e+02
8.747652760620333368e+01 1.097629753095342835e+02 9.930831897256886975e+01 9.186552486622480274e+01 1.153937927537761112e+02 9.900090731252238641e+01 9.860678036652448952e+01 9.528503711188412240e+01 1.195557781817948495e+02
1.084446947751479797e+02 1.010287232376532529e+02 9.126410767318215278e+01 8.995007775827255614e+01 1.107813087461140640e+02 9.819800320979280173e+01 1.012620560275487946e+02 1.101245084879593321e+02 1.151390510468872890e+02
1.084329534264837633e+02 1.183092281114582107e+02 8.791015778106101664e+01 1.027771469233382646e+02 9.335843324799682819e+01 8.780109836601209850e+01 1.028475567977396139e+02 1.058561120297641907e+02 8.924984121761355027e+01
9.501414380508333579e+01 1.107528626172431530e+02 9.967504934042379716e+01 9.461870341095270476e+01 9.708493496853792237e+01 8.369256769109789218e+01 9.367793067255212236e+01 9.591228433830426070e+01 8.932559370846567504e+01
1.059123498054045456e+02 9.827547191464564946e+01 9.585318210703815112e+01 8.457256397966833106e+01 9.395252800287768480e+01 8.382601387342896260e+01 9.553272665705914335e+01 9.537018818252624897e+01 9.361075802474530860e+01
9.739009856014519073e+01 9.445042060290894881e+01 9.891195174135667401e+01 9.064400366332179715e+01 8.699199616049465078e+01 1.040540089378759205e+02 8.831253539065149027e+01 8.216864995458114151e+01 8.763893341065868015e+01
9.184070426803521059e+01 8.480504535891741114e+01 9.341991682145149412e+01 9.002327913029500905e+01 1.046849993386130677e+02 1.070195715021431084e+02 9.952331164551951304e+01 9.588493163219899884e+01 9.801101137719498979e+01
1.053108709121235904e+02 9.320572807270349358e+01 1.058828612564424247e+02 9.576016492180710316e+01 9.754802685964594389e+01 9.161932732803475687e+01 1.004208227449174018e+02 8.720140410986218171e+01 1.017252217700099806e+02
9.893135195117952208e+01 9.186440227189231678e+01 9.963922040068042918e+01 9.668254483980462055e+01 7.576035616296294961e+01 9.249190729617083662e+01 9.900043242704659008e+01 1.036214583945636889e+02 9.756821357826159158e+01
9.348132824839271393e+01 8.896607115784696873e+01 1.109966564306135126e+02 9.626852245885814341e+01 7.615025331705292899e+01 9.564173119510395793e+01 8.706441816269560263e+01 9.902461474970436939e+01 9.992714864217809634e+01
