log.prior	log.likelihood	log.likelihood.test.set
-8.236837767537372201e+02 0.000000000000000000e+00 -2.125670612560134032e+01
-8.261301075148926429e+02 0.000000000000000000e+00 -2.109943273226147653e+01
-8.425990549284782674e+02 0.000000000000000000e+00 -2.148775764515342246e+01
-8.330699229054544048e+02 0.000000000000000000e+00 -2.134013609646167708e+01
-8.501436375876095326e+02 0.000000000000000000e+00 -2.042612241416189534e+01
-8.274190379504592556e+02 0.000000000000000000e+00 -2.035589618991745908e+01
-8.135522491006856853e+02 0.000000000000000000e+00 -1.928376572969023073e+01
-8.187144559061392783e+02 0.000000000000000000e+00 -2.062227589130652916e+01
-8.240571750900373900e+02 0.000000000000000000e+00 -1.946655263835120309e+01
-8.087989893703559119e+02 0.000000000000000000e+00 -1.853454405157386020e+01
-8.089044428541849356e+02 0.000000000000000000e+00 -1.945712852458804321e+01
-7.877617225913520542e+02 0.000000000000000000e+00 -1.916576126348931552e+01
-7.937101375189540704e+02 0.000000000000000000e+00 -1.864368180428954247e+01
-8.135892110641793806e+02 0.000000000000000000e+00 -1.955445714012472536e+01
-8.216244638636595710e+02 0.000000000000000000e+00 -1.821530447613075410e+01
-8.196932720076272290e+02 0.000000000000000000e+00 -1.800535098319876681e+01
-8.092083550969296084e+02 0.000000000000000000e+00 -1.816073788917009324e+01
-8.007067033735995665e+02 0.000000000000000000e+00 -1.803325535725460327e+01
-7.983477748517063901e+02 0.000000000000000000e+00 -1.793827750402894594e+01
-8.199986131047796789e+02 0.000000000000000000e+00 -1.890963688764770723e+01
-8.184009700831776399e+02 0.000000000000000000e+00 -1.915555008295747541e+01
-8.257231744224868635e+02 0.000000000000000000e+00 -1.925803498079048381e+01
-8.250256430132125161e+02 0.000000000000000000e+00 -1.955881017324514914e+01
-8.545228162701916972e+02 0.000000000000000000e+00 -1.979024438267256869e+01
-8.553334494793374461e+02 0.000000000000000000e+00 -1.968373445800992272e+01
-8.569633575912987453e+02 0.000000000000000000e+00 -2.032153895876759009e+01
-8.704469941449135604e+02 0.000000000000000000e+00 -2.048988709551628062e+01
-8.470076940346168612e+02 0.000000000000000000e+00 -1.983164897181940489e+01
-8.340562895830771595e+02 0.000000000000000000e+00 -2.005614284030478700e+01
-8.308293860076804549e+02 0.000000000000000000e+00 -2.084086238213592424e+01
-8.284810817683089681e+02 0.000000000000000000e+00 -2.056815649415931091e+01
-8.166765405536041271e+02 0.000000000000000000e+00 -2.022077624473020308e+01
-8.494841377290279070e+02 0.000000000000000000e+00 -1.989551026932269906e+01
-8.501881848880498183e+02 0.000000000000000000e+00 -1.903030024092166173e+01
-8.329294006235389816e+02 0.000000000000000000e+00 -2.049427292040454063e+01
-8.424866897860683821e+02 0.000000000000000000e+00 -2.031837023633643469e+01
-8.512292127938188742e+02 0.000000000000000000e+00 -1.986111529419817145e+01
-8.276238712505339663e+02 0.000000000000000000e+00 -1.985068366761379366e+01
-8.333483228776399301e+02 0.000000000000000000e+00 -2.135526354940040505e+01
-8.558960681162867559e+02 0.000000000000000000e+00 -2.026871416012983218e+01
-8.391634209384515088e+02 0.000000000000000000e+00 -1.937632632373635033e+01
-8.488078300575823505e+02 0.000000000000000000e+00 -1.913615635077374577e+01
-8.420647274091768395e+02 0.000000000000000000e+00 -1.816437348902124427e+01
-8.271537818920693326e+02 0.000000000000000000e+00 -1.859689009246007174e+01
-8.049146515305966432e+02 0.000000000000000000e+00 -1.996308217735081314e+01
-8.117545855158246013e+02 0.000000000000000000e+00 -1.957539756427105715e+01
-8.131780610147328616e+02 0.000000000000000000e+00 -1.982715615189103175e+01
-8.091242877151526045e+02 0.000000000000000000e+00 -1.991641065561802293e+01
-8.229063626977123249e+02 0.000000000000000000e+00 -1.809438963735469486e+01
-8.294510460504715184e+02 0.000000000000000000e+00 -1.882796844088973387e+01
-8.757950315032760500e+02 0.000000000000000000e+00 -1.885664409181414669e+01
-8.445531725197961350e+02 0.000000000000000000e+00 -1.873863509118200454e+01
-8.245388308801045696e+02 0.000000000000000000e+00 -1.969443902366700172e+01
-8.287693411902641856e+02 0.000000000000000000e+00 -1.974070041672993625e+01
-8.419716752513015763e+02 0.000000000000000000e+00 -1.954389760659083208e+01
-8.191451989591810161e+02 0.000000000000000000e+00 -1.975153336111461044e+01
-7.983824745380833292e+02 0.000000000000000000e+00 -1.831185758908564765e+01
-8.206996965371912438e+02 0.000000000000000000e+00 -1.791544744510051146e+01
-8.401543483785198987e+02 0.000000000000000000e+00 -1.711716974439363526e+01
-8.400067864581822050e+02 0.000000000000000000e+00 -1.735914783638860115e+01
-8.465154206442637133e+02 0.000000000000000000e+00 -1.808612417826275021e+01
-8.563602815452784398e+02 0.000000000000000000e+00 -1.806441732861591731e+01
-8.756463027175444722e+02 0.000000000000000000e+00 -1.706583968734349810e+01
-8.573169189758666562e+02 0.000000000000000000e+00 -1.629846796184611435e+01
-8.613117089173308614e+02 0.000000000000000000e+00 -1.650439207857631629e+01
-8.675781263752650148e+02 0.000000000000000000e+00 -1.596127995449924697e+01
-8.887215290189801635e+02 0.000000000000000000e+00 -1.597911535382066006e+01
-8.944213767738638126e+02 0.000000000000000000e+00 -1.642680305203317914e+01
-8.919500047953097237e+02 0.000000000000000000e+00 -1.865831876130781097e+01
-8.983412482761721094e+02 0.000000000000000000e+00 -1.930791725357765642e+01
-8.901027185813952656e+02 0.000000000000000000e+00 -2.102869815583471791e+01
-9.082670735618337403e+02 0.000000000000000000e+00 -2.065118727677433696e+01
